Chromosome,Type,Start,End,Strand,ID,Alias,Name,Derivation
chr12,miRNA,112920515,112920535,-,MIMAT0027782,MIMAT0027782,mmu-miR-6941-5p,MI0022788
chr12,miRNA,112920483,112920503,-,MIMAT0027783,MIMAT0027783,mmu-miR-6941-3p,MI0022788
chr12,miRNA_primary_transcript,114469407,114469466,-,MI0022944,MI0022944,mmu-mir-7094-1,NA
chr12,miRNA,114469444,114469466,-,MIMAT0028094,MIMAT0028094,mmu-miR-7094-1-5p,MI0022944
chr12,miRNA,114469408,114469428,-,MIMAT0028095,MIMAT0028095,mmu-miR-7094-3p,MI0022944
chr12,miRNA_primary_transcript,114513635,114513694,-,MI0022945,MI0022945,mmu-mir-7094-2,NA
chr12,miRNA,114513672,114513694,-,MIMAT0028096,MIMAT0028096,mmu-miR-7094b-2-5p,MI0022945
chr12,miRNA,114513636,114513656,-,MIMAT0028095_1,MIMAT0028095,mmu-miR-7094-3p,MI0022945
chr12,miRNA_primary_transcript,115695720,115695794,-,MI0021920,MI0021920,mmu-mir-6388,NA
chr12,miRNA,115695773,115695793,-,MIMAT0025135,MIMAT0025135,mmu-miR-6388,MI0021920
chr12,miRNA_primary_transcript,117250817,117250885,+,MI0000175,MI0000175,mmu-mir-153,NA
chr12,miRNA,117250821,117250843,+,MIMAT0016992,MIMAT0016992,mmu-miR-153-5p,MI0000175
chr12,miRNA,117250860,117250881,+,MIMAT0000163,MIMAT0000163,mmu-miR-153-3p,MI0000175
chr13,miRNA_primary_transcript,17747473,17747593,+,MI0006282,MI0006282,mmu-mir-466i,NA
chr13,miRNA,17747525,17747544,+,MIMAT0017325,MIMAT0017325,mmu-miR-466i-5p,MI0006282
chr13,miRNA,17747552,17747573,+,MIMAT0005834,MIMAT0005834,mmu-miR-466i-3p,MI0006282
chr13,miRNA_primary_transcript,21396578,21396638,-,MI0022789,MI0022789,mmu-mir-6942,NA
chr13,miRNA,21396613,21396633,-,MIMAT0027784,MIMAT0027784,mmu-miR-6942-5p,MI0022789
chr13,miRNA,21396579,21396600,-,MIMAT0027785,MIMAT0027785,mmu-miR-6942-3p,MI0022789
chr13,miRNA_primary_transcript,21445160,21445240,+,MI0008322,MI0008322,mmu-mir-1896,NA
chr13,miRNA,21445209,21445230,+,MIMAT0007873,MIMAT0007873,mmu-miR-1896,MI0008322
chr13,miRNA_primary_transcript,21896918,21897049,-,MI0009990,MI0009990,mmu-mir-1983,NA
chr13,miRNA,21896930,21896950,-,MIMAT0009455,MIMAT0009455,mmu-miR-1983,MI0009990
chr13,miRNA_primary_transcript,24980055,24980118,+,MI0040623,MI0040623,mmu-mir-12184,NA
chr13,miRNA,24980056,24980077,+,MIMAT0049833,MIMAT0049833,mmu-miR-12184-5p,MI0040623
chr13,miRNA,24980094,24980114,+,MIMAT0049834,MIMAT0049834,mmu-miR-12184-3p,MI0040623
chr13,miRNA_primary_transcript,28710781,28710873,-,MI0021897,MI0021897,mmu-mir-6368,NA
chr13,miRNA,28710796,28710816,-,MIMAT0025112,MIMAT0025112,mmu-miR-6368,MI0021897
chr13,miRNA_primary_transcript,40865791,40865862,+,MI0018035,MI0018035,mmu-mir-5124a,NA
chr13,miRNA,40865801,40865820,+,MIMAT0020634,MIMAT0020634,mmu-miR-5124a,MI0018035
chr13,miRNA_primary_transcript,48536012,48536114,-,MI0000405,MI0000405,mmu-let-7d,NA
chr13,miRNA,48536078,48536099,-,MIMAT0000383,MIMAT0000383,mmu-let-7d-5p,MI0000405
chr13,miRNA,48536024,48536045,-,MIMAT0000384,MIMAT0000384,mmu-let-7d-3p,MI0000405
chr13,miRNA_primary_transcript,48537829,48537917,-,MI0000562,MI0000562,mmu-let-7f-1,NA
chr13,miRNA,48537889,48537910,-,MIMAT0000525,MIMAT0000525,mmu-let-7f-5p,MI0000562
chr13,miRNA,48537833,48537854,-,MIMAT0004623,MIMAT0004623,mmu-let-7f-1-3p,MI0000562
chr13,miRNA_primary_transcript,48538179,48538272,-,MI0000556,MI0000556,mmu-let-7a-1,NA
chr13,miRNA,48538239,48538260,-,MIMAT0000521,MIMAT0000521,mmu-let-7a-5p,MI0000556
chr13,miRNA,48538188,48538209,-,MIMAT0004620,MIMAT0004620,mmu-let-7a-1-3p,MI0000556
chr13,miRNA_primary_transcript,50544626,50544734,-,MI0004646,MI0004646,mmu-mir-683-1,NA
chr13,miRNA,50544644,50544664,-,MIMAT0003461,MIMAT0003461,mmu-miR-683,MI0004646
chr13,miRNA_primary_transcript,50600972,50601080,-,MI0010690,MI0010690,mmu-mir-683-2,NA
chr13,miRNA,50600990,50601010,-,MIMAT0003461_1,MIMAT0003461,mmu-miR-683,MI0010690
chr13,miRNA_primary_transcript,54578139,54578221,+,MI0039503,MI0039503,mmu-mir-1271,NA
chr13,miRNA,54578152,54578173,+,MIMAT0048641,MIMAT0048641,mmu-miR-1271-5p,MI0039503
chr13,miRNA,54578188,54578210,+,MIMAT0048642,MIMAT0048642,mmu-miR-1271-3p,MI0039503
chr13,miRNA_primary_transcript,55453106,55453171,+,MI0022790,MI0022790,mmu-mir-6943,NA
chr13,miRNA,55453111,55453130,+,MIMAT0027786,MIMAT0027786,mmu-miR-6943-5p,MI0022790
chr13,miRNA,55453150,55453171,+,MIMAT0027787,MIMAT0027787,mmu-miR-6943-3p,MI0022790
chr13,miRNA_primary_transcript,55477681,55477776,-,MI0022791,MI0022791,mmu-mir-6944,NA
chr13,miRNA,55477754,55477776,-,MIMAT0027788,MIMAT0027788,mmu-miR-6944-5p,MI0022791
chr13,miRNA,55477681,55477703,-,MIMAT0027789,MIMAT0027789,mmu-miR-6944-3p,MI0022791
chr13,miRNA_primary_transcript,55507625,55507692,-,MI0022792,MI0022792,mmu-mir-6945,NA
chr13,miRNA,55507667,55507688,-,MIMAT0027790,MIMAT0027790,mmu-miR-6945-5p,MI0022792
chr13,miRNA,55507627,55507647,-,MIMAT0027791,MIMAT0027791,mmu-miR-6945-3p,MI0022792
chr13,miRNA_primary_transcript,58023125,58023200,-,MI0005479,MI0005479,mmu-mir-874,NA
chr13,miRNA,58023170,58023191,-,MIMAT0017268,MIMAT0017268,mmu-miR-874-5p,MI0005479
chr13,miRNA,58023135,58023156,-,MIMAT0004853,MIMAT0004853,mmu-miR-874-3p,MI0005479
chr13,miRNA_primary_transcript,58313044,58313149,-,MI0021898,MI0021898,mmu-mir-6369,NA
chr13,miRNA,58313119,58313141,-,MIMAT0025113,MIMAT0025113,mmu-miR-6369,MI0021898
chr13,miRNA_primary_transcript,58392779,58392886,-,MI0000728,MI0000728,mmu-mir-7a-1,NA
chr13,miRNA,58392841,58392863,-,MIMAT0000677,MIMAT0000677,mmu-miR-7a-5p,MI0000728
chr13,miRNA,58392800,58392821,-,MIMAT0004670,MIMAT0004670,mmu-miR-7a-1-3p,MI0000728
chr13,miRNA_primary_transcript,62760739,62760846,+,MI0004698,MI0004698,mmu-mir-713,NA
chr13,miRNA,62760807,62760825,+,MIMAT0003504,MIMAT0003504,mmu-miR-713,MI0004698
chr13,miRNA_primary_transcript,63300484,63300557,+,MI0000141,MI0000141,mmu-mir-23b,NA
chr13,miRNA,63300492,63300512,+,MIMAT0016980,MIMAT0016980,mmu-miR-23b-5p,MI0000141
chr13,miRNA,63300529,63300549,+,MIMAT0000125,MIMAT0000125,mmu-miR-23b-3p,MI0000141
chr13,miRNA_primary_transcript,63300712,63300784,+,MI0000142,MI0000142,mmu-mir-27b,NA
chr13,miRNA,63300718,63300739,+,MIMAT0004522,MIMAT0004522,mmu-miR-27b-5p,MI0000142
chr13,miRNA,63300760,63300780,+,MIMAT0000126,MIMAT0000126,mmu-miR-27b-3p,MI0000142
chr13,miRNA_primary_transcript,63301199,63301283,-,MI0014037,MI0014037,mmu-mir-3074-1,NA
chr13,miRNA,63301249,63301270,-,MIMAT0014856,MIMAT0014856,mmu-miR-3074-5p,MI0014037
chr13,miRNA,63301211,63301232,-,MIMAT0014857,MIMAT0014857,mmu-miR-3074-1-3p,MI0014037
chr13,miRNA_primary_transcript,63301208,63301275,+,MI0000231,MI0000231,mmu-mir-24-1,NA
chr13,miRNA,63301213,63301235,+,MIMAT0000218,MIMAT0000218,mmu-miR-24-1-5p,MI0000231
chr13,miRNA,63301251,63301272,+,MIMAT0000219,MIMAT0000219,mmu-miR-24-3p,MI0000231
chr13,miRNA_primary_transcript,71107089,71107209,+,MI0006291,MI0006291,mmu-mir-466f-4,NA
chr13,miRNA,71107108,71107129,+,MIMAT0005844,MIMAT0005844,mmu-miR-466f,MI0006291
chr13,miRNA_primary_transcript,74407065,74407173,+,MI0023541,MI0023541,mmu-mir-692-3,NA
chr13,miRNA,74407121,74407141,+,MIMAT0003471,MIMAT0003471,mmu-miR-692,MI0023541
chr13,miRNA_primary_transcript,75645046,75645141,+,MI0004644,MI0004644,mmu-mir-682,NA
chr13,miRNA,75645119,75645139,+,MIMAT0003459,MIMAT0003459,mmu-miR-682,MI0004644
chr13,miRNA_primary_transcript,82698275,82698333,-,MI0016965,MI0016965,mmu-mir-3961,NA
chr13,miRNA,82698278,82698296,-,MIMAT0019338,MIMAT0019338,mmu-miR-3961,MI0016965
chr13,miRNA_primary_transcript,83738814,83738885,+,MI0000157,MI0000157,mmu-mir-9-2,NA
chr13,miRNA,83738821,83738843,+,MIMAT0000142,MIMAT0000142,mmu-miR-9-5p,MI0000157
chr13,miRNA,83738858,83738879,+,MIMAT0000143,MIMAT0000143,mmu-miR-9-3p,MI0000157
chr13,miRNA_primary_transcript,83738821,83738876,-,MI0040624,MI0040624,mmu-mir-9b-2,NA
chr13,miRNA,83738856,83738876,-,MIMAT0049835,MIMAT0049835,mmu-miR-9b-5p,MI0040624
chr13,miRNA,83738821,83738841,-,MIMAT0049836,MIMAT0049836,mmu-miR-9b-3p,MI0040624
chr13,miRNA_primary_transcript,93790777,93790837,+,MI0019193,MI0019193,mmu-mir-5624,NA
chr13,miRNA,93790777,93790794,+,MIMAT0022377,MIMAT0022377,mmu-miR-5624-5p,MI0019193
chr13,miRNA,93790816,93790837,+,MIMAT0022378,MIMAT0022378,mmu-miR-5624-3p,MI0019193
chr13,miRNA_primary_transcript,109324744,109324824,+,MI0006127,MI0006127,mmu-mir-582,NA
chr13,miRNA,109324753,109324774,+,MIMAT0005291,MIMAT0005291,mmu-miR-582-5p,MI0006127
chr13,miRNA,109324790,109324810,+,MIMAT0005292,MIMAT0005292,mmu-miR-582-3p,MI0006127
chr13,miRNA_primary_transcript,109903809,109903888,+,MI0008323,MI0008323,mmu-mir-1904,NA
chr13,miRNA,109903819,109903840,+,MIMAT0007874,MIMAT0007874,mmu-miR-1904,MI0008323
chr13,miRNA_primary_transcript,113035983,113036091,+,MI0004645,MI0004645,mmu-mir-449c,NA
chr13,miRNA,113036008,113036028,+,MIMAT0003460,MIMAT0003460,mmu-miR-449c-5p,MI0004645
chr13,miRNA,113036049,113036070,+,MIMAT0022715,MIMAT0022715,mmu-miR-449c-3p,MI0004645
chr13,miRNA_primary_transcript,113037419,113037498,+,MI0005547,MI0005547,mmu-mir-449b,NA
chr13,miRNA,113037429,113037448,+,MIMAT0005447,MIMAT0005447,mmu-miR-449b,MI0005547
chr13,miRNA_primary_transcript,113037534,113037624,+,MI0001649,MI0001649,mmu-mir-449a,NA
chr13,miRNA,113037549,113037570,+,MIMAT0001542,MIMAT0001542,mmu-miR-449a-5p,MI0001649
chr13,miRNA,113037589,113037610,+,MIMAT0017180,MIMAT0017180,mmu-miR-449a-3p,MI0001649
chr14,miRNA_primary_transcript,11282477,11282561,+,MI0021921,MI0021921,mmu-mir-5124b,NA
chr14,miRNA,11282482,11282502,+,MIMAT0025136,MIMAT0025136,mmu-miR-5124b,MI0021921
chr14,miRNA_primary_transcript,20690635,20690703,+,MI0022793,MI0022793,mmu-mir-6946,NA
chr14,miRNA,20690640,20690660,+,MIMAT0027792,MIMAT0027792,mmu-miR-6946-5p,MI0022793
chr14,miRNA,20690684,20690703,+,MIMAT0027793,MIMAT0027793,mmu-miR-6946-3p,MI0022793
chr14,miRNA_primary_transcript,24088877,24088930,+,MI0023705,MI0023705,mmu-mir-7210,NA
chr14,miRNA,24088877,24088899,+,MIMAT0028388,MIMAT0028388,mmu-miR-7210-5p,MI0023705
chr14,miRNA,24088907,24088930,+,MIMAT0028389,MIMAT0028389,mmu-miR-7210-3p,MI0023705
chr14,miRNA_primary_transcript,25534439,25534523,+,MI0014038,MI0014038,mmu-mir-3075,NA
chr14,miRNA,25534451,25534471,+,MIMAT0014858,MIMAT0014858,mmu-miR-3075-5p,MI0014038
chr14,miRNA,25534491,25534511,+,MIMAT0014859,MIMAT0014859,mmu-miR-3075-3p,MI0014038
chr14,miRNA_primary_transcript,26669547,26669608,-,MI0025012,MI0025012,mmu-mir-7672,NA
chr14,miRNA,26669587,26669608,-,MIMAT0029850,MIMAT0029850,mmu-miR-7672-5p,MI0025012
chr14,miRNA,26669547,26669567,-,MIMAT0029851,MIMAT0029851,mmu-miR-7672-3p,MI0025012
chr14,miRNA_primary_transcript,29988888,29988952,+,MI0022794,MI0022794,mmu-mir-6947,NA
chr14,miRNA,29988893,29988913,+,MIMAT0027794,MIMAT0027794,mmu-miR-6947-5p,MI0022794
chr14,miRNA,29988930,29988951,+,MIMAT0027795,MIMAT0027795,mmu-miR-6947-3p,MI0022794
chr14,miRNA_primary_transcript,30572149,30572208,+,MI0014039,MI0014039,mmu-mir-3076,NA
chr14,miRNA,30572150,30572173,+,MIMAT0014860,MIMAT0014860,mmu-miR-3076-5p,MI0014039
chr14,miRNA,30572185,30572207,+,MIMAT0014861,MIMAT0014861,mmu-miR-3076-3p,MI0014039
chr14,miRNA_primary_transcript,34894609,34894706,+,MI0000634,MI0000634,mmu-mir-346,NA
chr14,miRNA,34894624,34894646,+,MIMAT0000597,MIMAT0000597,mmu-miR-346-5p,MI0000634
chr14,miRNA,34894662,34894683,+,MIMAT0017039,MIMAT0017039,mmu-miR-346-3p,MI0000634
chr14,miRNA_primary_transcript,44947443,44947511,-,MI0005493,MI0005493,mmu-mir-327,NA
chr14,miRNA,44947483,44947501,-,MIMAT0004867,MIMAT0004867,mmu-miR-327,MI0005493
chr14,miRNA_primary_transcript,45657961,45658053,-,MI0018043,MI0018043,mmu-mir-5131,NA
chr14,miRNA,45657972,45657994,-,MIMAT0020642,MIMAT0020642,mmu-miR-5131,MI0018043
chr14,miRNA_primary_transcript,46954830,46954928,-,MI0021923,MI0021923,mmu-mir-378c,NA
chr14,miRNA,46954905,46954925,-,MIMAT0025138,MIMAT0025138,mmu-miR-378c,MI0021923
chr14,miRNA_primary_transcript,54616677,54616785,-,MI0004650,MI0004650,mmu-mir-686,NA
chr14,miRNA,54616746,54616767,-,MIMAT0003464,MIMAT0003464,mmu-miR-686,MI0004650
chr14,miRNA_primary_transcript,54643049,54643110,-,MI0022795,MI0022795,mmu-mir-6948,NA
chr14,miRNA,54643084,54643105,-,MIMAT0027796,MIMAT0027796,mmu-miR-6948-5p,MI0022795
chr14,miRNA,54643050,54643070,-,MIMAT0027797,MIMAT0027797,mmu-miR-6948-3p,MI0022795
chr14,miRNA_primary_transcript,54949060,54949142,-,MI0000555,MI0000555,mmu-mir-208a,NA
chr14,miRNA,54949107,54949128,-,MIMAT0017014,MIMAT0017014,mmu-miR-208a-5p,MI0000555
chr14,miRNA,54949072,54949093,-,MIMAT0000520,MIMAT0000520,mmu-miR-208a-3p,MI0000555
chr14,miRNA_primary_transcript,54975700,54975776,-,MI0005552,MI0005552,mmu-mir-208b,NA
chr14,miRNA,54975745,54975766,-,MIMAT0017280,MIMAT0017280,mmu-miR-208b-5p,MI0005552
chr14,miRNA,54975710,54975731,-,MIMAT0004939,MIMAT0004939,mmu-miR-208b-3p,MI0005552
chr14,miRNA_primary_transcript,56082401,56082468,-,MI0022796,MI0022796,mmu-mir-6949,NA
chr14,miRNA,56082441,56082463,-,MIMAT0027798,MIMAT0027798,mmu-miR-6949-5p,MI0022796
chr14,miRNA,56082401,56082421,-,MIMAT0027799,MIMAT0027799,mmu-miR-6949-3p,MI0022796
chr14,miRNA_primary_transcript,57798424,57798487,+,MI0014040,MI0014040,mmu-mir-3077,NA
chr14,miRNA,57798424,57798448,+,MIMAT0014862,MIMAT0014862,mmu-miR-3077-5p,MI0014040
chr14,miRNA,57798466,57798487,+,MIMAT0014863,MIMAT0014863,mmu-miR-3077-3p,MI0014040
chr14,miRNA_primary_transcript,60228806,60228915,-,MI0004651,MI0004651,mmu-mir-719,NA
chr14,miRNA,60228873,60228894,-,MIMAT0003465,MIMAT0003465,mmu-miR-719,MI0004651
chr14,miRNA_primary_transcript,61631880,61631972,-,MI0000565,MI0000565,mmu-mir-16-1,NA
chr14,miRNA,61631936,61631957,-,MIMAT0000527,MIMAT0000527,mmu-miR-16-5p,MI0000565
chr14,miRNA,61631894,61631915,-,MIMAT0004625,MIMAT0004625,mmu-miR-16-1-3p,MI0000565
chr14,miRNA_primary_transcript,61632027,61632110,-,MI0000564,MI0000564,mmu-mir-15a,NA
chr14,miRNA,61632075,61632096,-,MIMAT0000526,MIMAT0000526,mmu-miR-15a-5p,MI0000564
chr14,miRNA,61632038,61632059,-,MIMAT0004624,MIMAT0004624,mmu-miR-15a-3p,MI0000564
chr14,miRNA_primary_transcript,62837721,62837857,+,MI0026026,MI0026026,mmu-mir-8098,NA
chr14,miRNA,62837797,62837817,+,MIMAT0031400,MIMAT0031400,mmu-miR-8098,MI0026026
chr14,miRNA_primary_transcript,62865542,62865651,+,MI0022358,MI0022358,mmu-mir-6541,NA
chr14,miRNA,62865610,62865630,+,MIMAT0025588,MIMAT0025588,mmu-miR-6541,MI0022358
chr14,miRNA_primary_transcript,63150292,63150348,-,MI0040625,MI0040625,mmu-mir-12185,NA
chr14,miRNA,63150324,63150348,-,MIMAT0049837,MIMAT0049837,mmu-miR-12185-5p,MI0040625
chr14,miRNA,63150292,63150313,-,MIMAT0049838,MIMAT0049838,mmu-miR-12185-3p,MI0040625
chr14,miRNA_primary_transcript,63727189,63727267,+,MI0005556,MI0005556,mmu-mir-598,NA
chr14,miRNA,63727199,63727221,+,MIMAT0017283,MIMAT0017283,mmu-miR-598-5p,MI0005556
chr14,miRNA,63727236,63727257,+,MIMAT0004942,MIMAT0004942,mmu-miR-598-3p,MI0005556
chr14,miRNA_primary_transcript,64590657,64590741,+,MI0000716,MI0000716,mmu-mir-124-1,NA
chr14,miRNA,64590670,64590691,+,MIMAT0004527,MIMAT0004527,mmu-miR-124-5p,MI0000716
chr14,miRNA,64590709,64590728,+,MIMAT0000134,MIMAT0000134,mmu-miR-124-3p,MI0000716
chr14,miRNA_primary_transcript,64591185,64591271,+,MI0014041,MI0014041,mmu-mir-3078,NA
chr14,miRNA,64591200,64591222,+,MIMAT0014864,MIMAT0014864,mmu-miR-3078-5p,MI0014041
chr14,miRNA,64591239,64591258,+,MIMAT0014865,MIMAT0014865,mmu-miR-3078-3p,MI0014041
chr14,miRNA_primary_transcript,67859636,67859745,-,MI0022355,MI0022355,mmu-mir-6539,NA
chr14,miRNA,67859699,67859722,-,MIMAT0025584,MIMAT0025584,mmu-miR-6539,MI0022355
chr14,miRNA_primary_transcript,69692248,69692320,+,MI0022797,MI0022797,mmu-mir-6950,NA
chr14,miRNA,69692253,69692275,+,MIMAT0027800,MIMAT0027800,mmu-miR-6950-5p,MI0022797
chr14,miRNA,69692293,69692313,+,MIMAT0027801,MIMAT0027801,mmu-miR-6950-3p,MI0022797
chr14,miRNA_primary_transcript,70443510,70443591,+,MI0000704,MI0000704,mmu-mir-320,NA
chr14,miRNA,70443525,70443546,+,MIMAT0017057,MIMAT0017057,mmu-miR-320-5p,MI0000704
chr14,miRNA,70443557,70443578,+,MIMAT0000666,MIMAT0000666,mmu-miR-320-3p,MI0000704
chr14,miRNA_primary_transcript,73206763,73206851,-,MI0004652,MI0004652,mmu-mir-687,NA
chr14,miRNA,73206808,73206829,-,MIMAT0003466,MIMAT0003466,mmu-miR-687,MI0004652
chr14,miRNA_primary_transcript,78191373,78191478,-,MI0009970,MI0009970,mmu-mir-1971,NA
chr14,miRNA,78191451,78191468,-,MIMAT0009446,MIMAT0009446,mmu-miR-1971,MI0009970
chr14,miRNA_primary_transcript,79738431,79738528,+,MI0004554,MI0004554,mmu-mir-759,NA
chr14,miRNA,79738460,79738481,+,MIMAT0003897,MIMAT0003897,mmu-miR-759,MI0004554
chr14,miRNA_primary_transcript,102982549,102982632,-,MI0018042,MI0018042,mmu-mir-5130,NA
chr14,miRNA,102982608,102982631,-,MIMAT0020641,MIMAT0020641,mmu-miR-5130,MI0018042
chr14,miRNA_primary_transcript,105623642,105623770,-,MI0021924,MI0021924,mmu-mir-6390,NA
chr14,miRNA,105623710,105623730,-,MIMAT0025139,MIMAT0025139,mmu-miR-6390,MI0021924
chr14,miRNA_primary_transcript,115043671,115043754,+,MI0000687,MI0000687,mmu-mir-17,NA
chr14,miRNA,115043684,115043706,+,MIMAT0000649,MIMAT0000649,mmu-miR-17-5p,MI0000687
chr14,miRNA,115043721,115043742,+,MIMAT0000650,MIMAT0000650,mmu-miR-17-3p,MI0000687
chr14,miRNA_primary_transcript,115043851,115043946,+,MI0000567,MI0000567,mmu-mir-18a,NA
chr14,miRNA,115043867,115043889,+,MIMAT0000528,MIMAT0000528,mmu-miR-18a-5p,MI0000567
chr14,miRNA,115043908,115043929,+,MIMAT0004626,MIMAT0004626,mmu-miR-18a-3p,MI0000567
chr14,miRNA_primary_transcript,115044000,115044081,+,MI0000688,MI0000688,mmu-mir-19a,NA
chr14,miRNA,115044012,115044033,+,MIMAT0004660,MIMAT0004660,mmu-miR-19a-5p,MI0000688
chr14,miRNA,115044048,115044070,+,MIMAT0000651,MIMAT0000651,mmu-miR-19a-3p,MI0000688
chr14,miRNA_primary_transcript,115044157,115044263,+,MI0000568,MI0000568,mmu-mir-20a,NA
chr14,miRNA,115044183,115044205,+,MIMAT0000529,MIMAT0000529,mmu-miR-20a-5p,MI0000568
chr14,miRNA,115044219,115044240,+,MIMAT0004627,MIMAT0004627,mmu-miR-20a-3p,MI0000568
chr14,miRNA_primary_transcript,115044305,115044391,+,MI0000718,MI0000718,mmu-mir-19b-1,NA
chr14,miRNA,115044358,115044380,+,MIMAT0000513,MIMAT0000513,mmu-miR-19b-3p,MI0000718
chr14,miRNA,115044320,115044342,+,MIMAT0017065,MIMAT0017065,mmu-miR-19b-1-5p,MI0000718
chr14,miRNA_primary_transcript,115044427,115044506,+,MI0000719,MI0000719,mmu-mir-92a-1,NA
chr14,miRNA,115044476,115044496,+,MIMAT0000539,MIMAT0000539,mmu-miR-92a-3p,MI0000719
chr14,miRNA,115044437,115044459,+,MIMAT0017066,MIMAT0017066,mmu-miR-92a-1-5p,MI0000719
chr14,miRNA_primary_transcript,117953743,117953847,-,MI0021586,MI0021586,mmu-mir-6239,NA
chr14,miRNA,117953768,117953787,-,MIMAT0024860,MIMAT0024860,mmu-miR-6239,MI0021586
chr14,miRNA_primary_transcript,118258634,118258736,+,MI0021588,MI0021588,mmu-mir-6241,NA
chr14,miRNA,118258659,118258677,+,MIMAT0024862,MIMAT0024862,mmu-miR-6241,MI0021588
chr14,miRNA_primary_transcript,118592369,118592472,-,MI0021925,MI0021925,mmu-mir-6391,NA
chr14,miRNA,118592376,118592396,-,MIMAT0025140,MIMAT0025140,mmu-miR-6391,MI0021925
chr15,miRNA_primary_transcript,12171492,12171574,+,MI0008324,MI0008324,mmu-mir-1898,NA
chr15,miRNA,12171502,12171523,+,MIMAT0007875,MIMAT0007875,mmu-miR-1898,MI0008324
chr15,miRNA_primary_transcript,25948227,25948287,+,MI0023707,MI0023707,mmu-mir-7212,NA
chr15,miRNA,25948227,25948247,+,MIMAT0028392,MIMAT0028392,mmu-miR-7212-5p,MI0023707
chr15,miRNA,25948267,25948287,+,MIMAT0028393,MIMAT0028393,mmu-miR-7212-3p,MI0023707
chr15,miRNA_primary_transcript,27571494,27571558,+,MI0022968,MI0022968,mmu-mir-7117,NA
chr15,miRNA,27571499,27571520,+,MIMAT0028131,MIMAT0028131,mmu-miR-7117-5p,MI0022968
chr15,miRNA,27571539,27571558,+,MIMAT0028132,MIMAT0028132,mmu-miR-7117-3p,MI0022968
chr15,miRNA_primary_transcript,29713331,29713404,-,MI0016970,MI0016970,mmu-mir-3964,NA
chr15,miRNA,29713337,29713356,-,MIMAT0019344,MIMAT0019344,mmu-miR-3964,MI0016970
chr15,miRNA_primary_transcript,35660831,35660918,-,MI0012529,MI0012529,mmu-mir-599,NA
chr15,miRNA,35660846,35660864,-,MIMAT0012772,MIMAT0012772,mmu-miR-599,MI0012529
chr15,miRNA_primary_transcript,35660970,35661047,-,MI0005551,MI0005551,mmu-mir-875,NA
chr15,miRNA,35661016,35661037,-,MIMAT0004937,MIMAT0004937,mmu-miR-875-5p,MI0005551
chr15,miRNA,35660982,35661002,-,MIMAT0004938,MIMAT0004938,mmu-miR-875-3p,MI0005551
chr15,miRNA_primary_transcript,36240046,36240164,-,MI0026025,MI0026025,mmu-mir-8097,NA
chr15,miRNA,36240113,36240134,-,MIMAT0031399,MIMAT0031399,mmu-miR-8097,MI0026025
chr15,miRNA_primary_transcript,38490473,38490547,-,MI0022798,MI0022798,mmu-mir-6951,NA
chr15,miRNA,38490522,38490542,-,MIMAT0027802,MIMAT0027802,mmu-miR-6951-5p,MI0022798
chr15,miRNA,38490473,38490493,-,MIMAT0027803,MIMAT0027803,mmu-miR-6951-3p,MI0022798
chr15,miRNA_primary_transcript,50889025,50889114,-,MI0008325,MI0008325,mmu-mir-1907,NA
chr15,miRNA,50889035,50889056,-,MIMAT0007876,MIMAT0007876,mmu-miR-1907,MI0008325
chr15,miRNA_primary_transcript,53614205,53614279,-,MI0016966,MI0016966,mmu-mir-28c,NA
chr15,miRNA,53614216,53614235,-,MIMAT0019339,MIMAT0019339,mmu-miR-28c,MI0016966
chr15,miRNA_primary_transcript,68337415,68337510,-,MI0000145,MI0000145,mmu-mir-30b,NA
chr15,miRNA,68337469,68337490,-,MIMAT0000130,MIMAT0000130,mmu-miR-30b-5p,MI0000145
chr15,miRNA,68337431,68337452,-,MIMAT0004524,MIMAT0004524,mmu-miR-30b-3p,MI0000145
chr15,miRNA_primary_transcript,68341208,68341289,-,MI0000549,MI0000549,mmu-mir-30d,NA
chr15,miRNA,68341257,68341278,-,MIMAT0000515,MIMAT0000515,mmu-miR-30d-5p,MI0000549
chr15,miRNA,68341217,68341238,-,MIMAT0017011,MIMAT0017011,mmu-miR-30d-3p,MI0000549
chr15,miRNA_primary_transcript,73254815,73254882,-,MI0000173,MI0000173,mmu-mir-151,NA
chr15,miRNA,73254855,73254875,-,MIMAT0004536,MIMAT0004536,mmu-miR-151-5p,MI0000173
chr15,miRNA,73254820,73254840,-,MIMAT0000161,MIMAT0000161,mmu-miR-151-3p,MI0000173
chr15,miRNA_primary_transcript,76064828,76064888,-,MI0022799,MI0022799,mmu-mir-6952,NA
chr15,miRNA,76064862,76064883,-,MIMAT0027804,MIMAT0027804,mmu-miR-6952-5p,MI0022799
chr15,miRNA,76064828,76064849,-,MIMAT0027805,MIMAT0027805,mmu-miR-6952-3p,MI0022799
chr15,miRNA_primary_transcript,76215611,76215673,-,MI0009931,MI0009931,mmu-mir-1942,NA
chr15,miRNA,76215621,76215641,-,MIMAT0009407,MIMAT0009407,mmu-miR-1942,MI0009931
chr15,miRNA_primary_transcript,76248191,76248258,+,MI0022800,MI0022800,mmu-mir-6953,NA
chr15,miRNA,76248196,76248221,+,MIMAT0027806,MIMAT0027806,mmu-miR-6953-5p,MI0022800
chr15,miRNA,76248235,76248258,+,MIMAT0027807,MIMAT0027807,mmu-miR-6953-3p,MI0022800
