"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03010","Genetic Information Processing","Translation","mmu03010","Ribosome - Mus musculus (house mouse)","34/1397","138/7573",0.0409234110644308,0.219557348250438,0.184616892019988,"107732/66211/27398/66163/68735/94066/68537/68463/68565/68611/94064/94063/353242/107734/77721/78523/94061/56284/67994/27397/225215/94062/27395/94065/56282/121022/24030/50529/66242/66223/67681/64659/69527/66845",34
"mmu04012","Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway - Mus musculus (house mouse)","22/1397","83/7573",0.0435346452605826,0.224714444431633,0.188953285570043,"216148/26420/20418/20662/15200/12322/15461/11352/20779/18710/16653/74769/17973/26398/20663/26396/18707/26414/18750/12323/14784/26413",22
"mmu05100","Human Diseases","Infectious disease: bacterial","mmu05100","Bacterial invasion of epithelial cells - Mus musculus (house mouse)","20/1397","74/7573",0.0437134993012568,0.224714444431633,0.188953285570043,"12390/12540/12387/216148/20418/22330/16412/14268/13429/20779/18710/16202/74769/18707/56526/242894/53860/12391/11465/68089",20
"mmu04350","Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway - Mus musculus (house mouse)","27/1397","106/7573",0.0438791518712656,0.224714444431633,0.188953285570043,"15216/51792/19053/66313/218441/56438/22042/110542/68010/17126/11477/14118/20482/209268/12160/17127/230597/17130/69585/21781/13590/13732/16323/14264/23893/26413/12579",27
"mmu00250","Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","11/1397","35/7573",0.0450203028668661,0.226011240565524,0.19004370897755,"11484/14661/11564/76282/52633/14718/212647/231327/14719/70503/14204",11
"mmu04068","Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway - Mus musculus (house mouse)","31/1397","125/7573",0.0454697170368509,0.226011240565524,0.19004370897755,"12444/241113/20656/26556/19211/20528/14816/16000/26420/12053/20662/15461/26557/18710/16653/17127/74769/67526/20663/26396/108097/18707/268697/26414/329934/26416/14784/26413/19082/12443/12579",31
"mmu05210","Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer - Mus musculus (house mouse)","22/1397","85/7573",0.0551336479818328,0.270074971273326,0.227095117545307,"12387/56044/17686/26420/27015/17685/20662/17126/15461/18710/16653/17127/74769/20663/26396/18707/26414/12043/14784/26413/13063/12443",22
"mmu05418","Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","34/1397","142/7573",0.058638908899485,0.283142160114656,0.238082788012947,"12390/12313/56551/17260/12387/56615/12315/26420/26399/15519/15529/22339/14873/18590/18159/11477/16410/20779/26409/18710/18791/17390/14860/74769/26398/14733/12314/18707/26414/26416/12043/12391/11465/16542",34
"mmu04722","Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway - Mus musculus (house mouse)","29/1397","119/7573",0.0629460770174144,0.299658789181494,0.251970953220191,"12313/12540/17164/12315/216148/26420/73086/20418/20112/20662/12322/15461/18710/16653/74769/20663/26396/12314/18707/19247/26414/26416/12043/12323/14784/108960/26413/109905/78405",29
"mmu00330","Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism - Mus musculus (house mouse)","14/1397","50/7573",0.064024781453392,0.300560779600646,0.252729400473916,"12709/18452/18451/14431/76722/56454/14718/228608/212647/14719/66988/100041585/20603/11702",14
"mmu05410","Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy - Mus musculus (house mouse)","24/1397","96/7573",0.0664067090157768,0.307472159552501,0.258540900277718,"16421/20391/241113/56808/16398/16773/16000/24052/16412/16420/16401/16410/22004/16651/326618/22003/108097/319734/17897/12391/11465/19082/11464/54378",24
"mmu04218","Cellular Processes","Cell growth and death","mmu04218","Cellular senescence - Mus musculus (house mouse)","38/1397","163/7573",0.0675948405184249,0.30874400128686,0.259610340540181,"12444/12313/22335/19211/11740/17164/12315/22333/15574/26399/22334/19056/17126/15461/13555/12448/27354/18710/50883/16653/11739/17535/23871/12649/17127/74769/12530/19058/26396/12314/18707/268697/26416/15258/26413/12443/110557/12579",38
"mmu04730","Organismal Systems","Nervous system","mmu04730","Long-term depression - Mus musculus (house mouse)","15/1397","55/7573",0.0691494409341649,0.311633480476637,0.262039986697888,"14673/53623/51792/19053/14816/16000/15461/14683/16653/12286/26396/18750/19091/26413/14804",15
"mmu04015","Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","47/1397","208/7573",0.0728090127679595,0.323808504152241,0.272277471569931,"12313/244668/21844/13637/56513/12540/12387/56044/18643/12315/16000/26399/382562/11600/11512/13800/22339/22340/15461/16412/18590/14683/20779/18441/18710/16653/22323/22341/11513/74769/26396/12314/14164/14745/18707/58220/14062/56508/18750/26416/20469/11465/16542/26413/17356/109905/240168",47
"mmu00511","Metabolism","Glycan biosynthesis and metabolism","mmu00511","Other glycan degradation - Mus musculus (house mouse)","6/1397","17/7573",0.0765546784921512,0.33326546723796,0.280229449250231,"66848/15212/110173/230101/11593/217364",6
"mmu05219","Human Diseases","Cancer: specific types","mmu05219","Bladder cancer - Mus musculus (house mouse)","11/1397","38/7573",0.0769074155164524,0.33326546723796,0.280229449250231,"73086/22339/15200/15461/13555/20779/16653/17390/26396/26413/12443",11
"mmu04960","Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse)","10/1397","34/7573",0.0814950572707651,0.347160243783972,0.291913004738936,"27222/16000/11931/18710/16653/74769/18707/18750/11936/26413",10
"mmu04152","Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway - Mus musculus (house mouse)","29/1397","122/7573",0.0821681050376265,0.347160243783972,0.291913004738936,"14936/241113/51792/19053/26931/20528/16000/19325/69008/20250/18639/270198/227154/18640/226849/26427/26409/18710/57915/74769/18642/108097/18707/235542/11549/16846/19082/12443/100039830",29
"mmu00010","Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis - Mus musculus (house mouse)","16/1397","61/7573",0.0836118140767743,0.348898680962342,0.293374786234296,"235339/56012/13382/68263/21991/72157/11532/16832/18597/18746/18642/14433/13808/18655/16828/13806",16
"mmu04935","Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action - Mus musculus (house mouse)","26/1397","108/7573",0.0847956222376372,0.349523418491724,0.293900102749192,"16000/216148/26420/26399/20418/11512/20662/16452/15461/26427/14683/18710/16653/11513/74769/26398/20663/26396/18707/16005/26414/18750/26416/14600/14784/26413",26
"mmu05414","Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy - Mus musculus (house mouse)","24/1397","99/7573",0.0889986975827779,0.362428431120228,0.304751405800254,"16421/20391/56808/16398/16773/16000/24052/11512/16412/16420/16401/16410/14683/22004/16651/11513/326618/22003/319734/17897/12391/11465/11464/54378",24
"mmu04725","Organismal Systems","Nervous system","mmu04725","Cholinergic synapse - Mus musculus (house mouse)","25/1397","104/7573",0.0909213917592458,0.36585036207887,0.30762876911023,"14706/11512/11423/14695/12322/16452/15461/26427/11438/226922/18710/16653/11513/14697/74769/66066/12286/14701/14700/18707/18750/12043/12323/26413/14707",25
"mmu04670","Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration - Mus musculus (house mouse)","26/1397","109/7573",0.0926678710141298,0.367529257946392,0.309040484726023,"12540/12387/19878/22330/16412/16401/18710/22323/17907/17390/83964/21838/74769/11855/171486/18707/19247/12767/56508/18750/67374/26416/20469/11465/17356/109905",26
"mmu04915","Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","27/1397","114/7573",0.0942535304419319,0.367529257946392,0.309040484726023,"12313/12315/13982/14816/216148/15519/20418/55960/11512/20662/15200/15461/26427/14683/20779/18710/16653/11513/17390/74769/20663/26396/12314/18707/12043/14784/26413",27
"mmu04964","Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation - Mus musculus (house mouse)","7/1397","22/7573",0.0946007261577991,0.367529257946392,0.309040484726023,"27222/76257/17449/14661/11931/11936/54403",7
"mmu04340","Environmental Information Processing","Signal transduction","mmu04340","Hedgehog signaling pathway - Mus musculus (house mouse)","14/1397","53/7573",0.0964675806615944,0.370523207541124,0.311557975820939,"12444/103236/56788/66313/17237/76857/59056/74770/226861/233812/14451/12043/15245/12443",14
"mmu00061","Metabolism","Lipid metabolism","mmu00061","Fatty acid biosynthesis - Mus musculus (house mouse)","6/1397","18/7573",0.0976341964590044,0.370790543855545,0.311782768112728,"257633/14081/71147/26922/50790/234309",6
"mmu05213","Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer - Mus musculus (house mouse)","15/1397","58/7573",0.10141319630714,0.380862892797925,0.320252198864652,"12387/19211/27015/20662/15461/18710/16653/16202/74769/20663/26396/18707/14784/26413/12443",15
"mmu04664","Organismal Systems","Immune system","mmu04664","Fc epsilon RI signaling pathway - Mus musculus (house mouse)","16/1397","63/7573",0.105752388561117,0.392794586084151,0.330285077056122,"26420/26399/20662/15461/18710/16653/74769/26398/20663/26396/18707/26414/18750/26416/14784/26413",16
"mmu05216","Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer - Mus musculus (house mouse)","10/1397","36/7573",0.112111384123338,0.411353700370124,0.345890685456037,"12387/20183/27015/21787/15461/19713/16653/26396/26413/12443",10
"mmu04213","Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species - Mus musculus (house mouse)","15/1397","59/7573",0.113926214395049,0.411353700370124,0.345890685456037,"20480/241113/20656/16000/11512/15461/18710/16653/11513/12955/74769/11793/108097/18707/19082",15
"mmu04137","Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal - Mus musculus (house mouse)","23/1397","97/7573",0.114400141523052,0.411353700370124,0.345890685456037,"641376/94044/59040/66313/26420/68653/28185/72018/15461/214952/53375/13555/20779/67414/170731/72542/16653/23802/74143/20438/68350/26414/67952",23
"mmu05161","Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B - Mus musculus (house mouse)","33/1397","147/7573",0.125071346849721,0.441951186145729,0.371618873433033,"13205/22335/54411/26420/26399/22031/66513/20662/16452/15461/26427/13555/20779/12448/26409/18710/15530/16653/14082/17127/74769/26398/20663/26396/228607/18707/26414/18750/26416/12043/14784/26413/13063",33
"mmu04150","Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway - Mus musculus (house mouse)","34/1397","152/7573",0.125524597248491,0.441951186145729,0.371618873433033,"216795/29869/19211/22411/11973/16000/67046/69008/22418/20112/56716/20662/15461/227154/13684/52187/18710/22419/16974/16653/66508/319481/74769/20663/26396/227743/18707/14362/14371/66096/18750/14784/26413/68576",34
"mmu04910","Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway - Mus musculus (house mouse)","30/1397","134/7573",0.141870970076169,0.49382457201911,0.415237105092369,"12313/14936/241113/20528/12315/216148/26420/20418/104215/20662/15461/18682/13684/18710/16653/74769/19087/19309/16332/18679/20663/26396/12314/102093/108097/18707/26414/14784/26413/19082",30
"mmu05206","Human Diseases","Cancer: overview","mmu05206","MicroRNAs in cancer - Mus musculus (house mouse)","35/1397","159/7573",0.143179905496665,0.49382457201911,0.415237105092369,"12444/13637/12505/19211/13435/73086/24064/22339/20662/15461/18590/212980/22352/12151/13555/12448/21923/18710/14086/16653/22003/74769/12530/19225/81877/20663/26396/18707/18750/12043/14784/26413/17118/12443/12050",35
"mmu05220","Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia - Mus musculus (house mouse)","18/1397","76/7573",0.150581961535367,0.514108111100545,0.432292712541722,"216148/20418/27015/20662/15461/13555/18710/16653/17127/74769/20663/26396/13016/18707/19247/14784/26413/12443",18
"mmu04014","Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway - Mus musculus (house mouse)","48/1397","226/7573",0.155861410308284,0.522553782035247,0.439394335563739,"12313/21844/85031/13637/12540/56044/12315/16000/216148/26420/56784/14706/20418/11600/14695/22339/20662/22340/15461/18590/11352/18710/16653/22341/23871/14697/74769/66066/20663/26396/14701/12314/14164/14700/18707/14255/19247/26414/18750/14784/225845/16542/26413/17356/14707/109905/240168/78405",48
"mmu04713","Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment - Mus musculus (house mouse)","21/1397","91/7573",0.156173480322456,0.522553782035247,0.439394335563739,"12313/53623/12315/12291/73086/14706/11512/14695/12322/14683/11513/14697/66066/14701/12314/14700/18750/19091/12323/26413/14707",21
"mmu04310","Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)","37/1397","171/7573",0.161265575886517,0.522553782035247,0.439394335563739,"216795/12444/20317/22402/12387/12301/22411/24117/26420/19878/68339/19056/22418/56438/73739/75826/68010/12322/20378/26409/22419/16974/17127/20187/19058/208846/13016/20438/319478/14362/26414/212398/14371/107515/18750/12323/12443",37
"mmu05226","Human Diseases","Cancer: specific types","mmu05226","Gastric cancer - Mus musculus (house mouse)","32/1397","146/7573",0.162214133089304,0.522553782035247,0.439394335563739,"216795/12387/20183/22411/218772/216148/20418/27015/22418/20662/17126/15461/13555/12448/18710/22419/16974/16653/17127/74769/20663/26396/14164/18707/14362/212398/14371/12043/14784/26413/12443/12579",32
"mmu04115","Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","17/1397","72/7573",0.162331796194381,0.522553782035247,0.439394335563739,"12444/19211/16000/71361/68428/12448/68098/50883/75747/12649/20438/26374/268697/12043/13663/13063/12443",17
"mmu05223","Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","17/1397","72/7573",0.162331796194381,0.522553782035247,0.439394335563739,"20183/218772/27015/20662/15461/13555/18710/19713/16653/74769/20663/26396/18707/18750/14784/26413/12443",17
"mmu00730","Metabolism","Metabolism of cofactors and vitamins","mmu00730","Thiamine metabolism - Mus musculus (house mouse)","4/1397","12/7573",0.165709368199809,0.522800166904977,0.439601510633272,"11636/18041/11647/105663",4
"mmu00760","Metabolism","Metabolism of cofactors and vitamins","mmu00760","Nicotinate and nicotinamide metabolism - Mus musculus (house mouse)","10/1397","39/7573",0.168447626513938,0.522800166904977,0.439601510633272,"69564/67993/64384/66454/75387/74080/103850/18605/68346/230718",10
"mmu05207","Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","41/1397","192/7573",0.168604320420896,0.522800166904977,0.439601510633272,"16650/56615/20183/16647/13982/15519/16648/13850/19013/12053/16646/11512/20112/22339/20662/16452/11632/14873/15461/26427/13555/14683/11438/20779/18710/16653/11513/14860/74769/12530/12286/20663/26396/71904/18707/11835/18750/12043/14784/26413/12443",41
"mmu05215","Human Diseases","Cancer: specific types","mmu05215","Prostate cancer - Mus musculus (house mouse)","22/1397","97/7573",0.170142066152507,0.522800166904977,0.439601510633272,"12387/19211/16000/15519/20662/15461/18590/26427/13555/12448/18710/16653/18791/74769/20663/26396/18707/11835/12043/14784/26413/12443",22
"mmu05231","Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer - Mus musculus (house mouse)","22/1397","97/7573",0.170142066152507,0.522800166904977,0.439601510633272,"20520/30805/26420/19012/20662/15461/18590/18777/100434/18710/16653/74769/20663/26396/320127/18707/26414/18750/68682/14784/212862/26413",22
"mmu00770","Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis - Mus musculus (house mouse)","6/1397","21/7573",0.176495645574647,0.537437191029106,0.451909192083023,"67618/106564/12035/75735/18605/73748",6
"mmu04914","Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation - Mus musculus (house mouse)","20/1397","88/7573",0.181688833242569,0.541477988049239,0.455306934828074,"16000/56371/67579/26420/15519/11512/20112/12877/20878/18710/16653/11513/74769/12530/231207/18707/268697/26414/26416/26413",20
"mmu05146","Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","21/1397","93/7573",0.182604036611722,0.541477988049239,0.455306934828074,"12842/16777/16775/16773/22330/12825/14268/226519/23928/14683/18710/12843/12830/12826/12827/74769/18707/20708/18750/12829/12828",21
"mmu04072","Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway - Mus musculus (house mouse)","31/1397","143/7573",0.183633275452508,0.541477988049239,0.455306934828074,"14673/56044/19157/14816/216148/20418/19012/11512/14823/20662/15461/18590/13429/14683/18710/16653/52123/11513/74769/20663/26396/320127/14745/18707/19247/14062/56508/18750/14784/11841/26413",31
"mmu04371","Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)","29/1397","133/7573",0.184230676407285,0.541477988049239,0.455306934828074,"12313/21780/17260/241113/12315/14706/11512/14695/17126/15461/16653/18791/11513/14697/17127/66066/26396/14701/12314/30878/108097/14700/23796/238564/17897/26413/19082/14707/12443",29
"mmu04662","Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","18/1397","79/7573",0.194313562488405,0.566189518285179,0.476085860906254,"19056/20662/15461/26377/18710/16653/74769/16332/19058/20663/26396/108723/12520/18707/14784/17060/26413/240168",18
"mmu04660","Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway - Mus musculus (house mouse)","26/1397","119/7573",0.196987910296132,0.569076185299938,0.478513142419755,"12540/51792/19053/26931/26420/19056/20662/15461/226849/26409/18710/16653/74769/17973/19058/20663/26396/108723/18707/235542/19247/26414/26416/14784/26413/100039830",26
"mmu04136","Cellular Processes","Transport and catabolism","mmu04136","Autophagy - other - Mus musculus (house mouse)","8/1397","31/7573",0.19959370471025,0.571717560949698,0.480734168347613,"29869/19053/66795/56716/67526/11793/52639/666468",8
"mmu00533","Metabolism","Glycan biosynthesis and metabolism","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate - Mus musculus (house mouse)","4/1397","13/7573",0.206369290999979,0.581575386612214,0.48902321515197,"53618/20441/53418/53625",4
"mmu04921","Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway - Mus musculus (house mouse)","31/1397","145/7573",0.206476468619721,0.581575386612214,0.48902321515197,"12313/17260/241113/56808/12315/19878/19056/54720/11512/12322/15461/14683/20779/16653/52163/11513/19225/19058/26396/12314/108097/319734/238564/18750/12323/11465/26413/19082/12443/329251/54378",31
"mmu00513","Metabolism","Glycan biosynthesis and metabolism","mmu00513","Various types of N-glycan biosynthesis - Mus musculus (house mouse)","10/1397","41/7573",0.212211050163141,0.592787892191253,0.498451357494981,"17308/53618/15212/20441/53418/103963/208624/140481/80286/66357",10
"mmu02010","Environmental Information Processing","Membrane transport","mmu02010","ABC transporters - Mus musculus (house mouse)","11/1397","46/7573",0.216321313817061,0.599316426804645,0.503940938141558,"27416/74104/11305/19299/74610/56325/11306/11666/56199/18670/26874",11
"mmu04720","Organismal Systems","Nervous system","mmu04720","Long-term potentiation - Mus musculus (house mouse)","15/1397","66/7573",0.224814414526311,0.617482626881324,0.519216160878099,"12313/12315/14816/19056/20112/12322/15461/16653/19058/26396/12314/18750/12323/26413/109905",15
"mmu05412","Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse)","18/1397","81/7573",0.226532087968296,0.617482626881324,0.519216160878099,"16421/20391/12387/56808/16398/16773/24052/12558/16412/16420/16401/16410/16651/319734/11472/12391/11465/54378",18
"mmu04550","Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)","28/1397","132/7573",0.234426638763879,0.632064701691322,0.531477637672553,"216795/12387/22411/16000/26380/22418/17126/16452/15461/12151/11477/20482/18710/22419/16653/17127/74769/26396/16468/13590/18707/16323/14362/14371/26416/16880/14784/26413",28
"mmu04728","Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","27/1397","127/7573",0.235621752701499,0.632064701691322,0.531477637672553,"12313/53623/51792/19053/26931/12315/26420/14706/19056/14695/12322/226849/26427/14683/14697/66066/12286/14701/12314/14700/235542/26414/18750/26416/12323/14707/100039830",27
"mmu00790","Metabolism","Metabolism of cofactors and vitamins","mmu00790","Folate biosynthesis - Mus musculus (house mouse)","6/1397","23/7573",0.239628122964145,0.637750437495126,0.53625854289531,"11677/110391/13361/11647/20751/67861",6
"mmu00310","Metabolism","Amino acid metabolism","mmu00310","Lysine degradation - Mus musculus (house mouse)","14/1397","62/7573",0.243055859523079,0.641819379053132,0.53967995124368,"78920/18822/13382/74147/110460/97212/64707/15107/110446/269132/74729/67956/12180/107823",14
"mmu04144","Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","51/1397","252/7573",0.250808196449251,0.655805303079556,0.551440148961321,"12390/56513/27681/12540/232910/216963/12343/22365/19157/268451/66313/11844/19325/218441/22042/16004/30948/17126/15461/13429/227700/66371/20779/140500/56433/234353/70160/73711/17127/69780/232227/230597/13854/72543/58194/107568/245666/58220/12767/55988/52055/225861/242894/11771/11841/12391/330192/211673/110557/215280/68089",51
"mmu04114","Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis - Mus musculus (house mouse)","25/1397","118/7573",0.252232808876752,0.655805303079556,0.551440148961321,"12313/51792/19053/26931/12315/16000/67579/19056/56438/11512/20112/12322/12877/226849/20878/12448/11513/19058/12314/231207/268697/11835/26416/12323/26413",25
"mmu05167","Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","38/1397","185/7573",0.255156760584523,0.657693584867144,0.553027928726655,"12313/12387/17164/12315/26420/26399/22031/14706/19056/54720/14695/22339/19106/16452/15461/13555/20779/18710/16653/14082/14697/74769/19225/66066/26398/19058/26396/14701/12314/14700/18707/26414/26416/26413/13063/14707/12443/110557",38
"mmu04024","Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway - Mus musculus (house mouse)","42/1397","206/7573",0.258520690243567,0.657693584867144,0.553027928726655,"12313/53623/21844/12922/27222/12315/67972/15166/26420/19878/19013/64082/11512/23984/12322/12790/11931/26427/14683/13616/18710/80911/320707/11513/18577/74769/26396/12314/56188/16526/18707/26414/14062/56508/109305/12323/11936/26413/15245/17356/109905/23828",42
"mmu00564","Metabolism","Lipid metabolism","mmu00564","Glycerophospholipid metabolism - Mus musculus (house mouse)","20/1397","93/7573",0.258796588128196,0.657693584867144,0.553027928726655,"85031/19210/210992/19012/14555/11423/320951/14732/68671/18777/226856/14571/52858/52123/102247/14712/320127/225010/212862/225845",20
"mmu00100","Metabolism","Lipid metabolism","mmu00100","Steroid biosynthesis - Mus musculus (house mouse)","5/1397","19/7573",0.264533193055981,0.667255367559116,0.561068044973408,"13121/18194/235293/74754/13360",5
"mmu05224","Human Diseases","Cancer: specific types","mmu05224","Breast cancer - Mus musculus (house mouse)","30/1397","145/7573",0.271310281017023,0.679280555435214,0.571179538983207,"216795/12387/19211/22411/13982/16000/216148/20418/27015/22418/15205/20662/15461/13555/18710/22419/16974/16653/74769/56198/20663/26396/14164/18707/14362/212398/14371/14784/26413/12443",30
"mmu04916","Organismal Systems","Endocrine system","mmu04916","Melanogenesis - Mus musculus (house mouse)","21/1397","99/7573",0.273927665510251,0.680790815753417,0.572449455787676,"216795/12313/12387/22411/12315/22418/11512/12322/15461/26427/14683/22419/16653/11513/26396/12314/14362/14371/18750/12323/26413",21
"mmu04919","Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway - Mus musculus (house mouse)","25/1397","120/7573",0.281942654248187,0.693744772086729,0.583341913620108,"12387/27222/13371/20183/13982/54720/15461/18802/18640/11931/16410/20779/18710/16653/74769/18642/26396/53901/18707/18750/329650/11936/11465/26413/12443",25
"mmu04216","Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","9/1397","39/7573",0.284168736644586,0.693744772086729,0.583341913620108,"22335/14081/22334/22042/18174/68428/50790/11793/19122",9
"mmu04961","Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse)","12/1397","54/7573",0.285297406272353,0.693744772086729,0.583341913620108,"27222/232910/13982/67972/11512/11931/13429/14683/320707/18750/11936/11771",12
"mmu04070","Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system - Mus musculus (house mouse)","20/1397","95/7573",0.292779238354508,0.704946658778027,0.59276112697,"12313/19211/12315/219135/18802/240752/55980/72519/18710/52858/74769/16332/327655/12314/320127/320404/18707/18750/69718/242291",20
"mmu05225","Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","35/1397","173/7573",0.298963217647415,0.704946658778027,0.59276112697,"216795/12387/56615/19211/22411/50493/216148/20418/27015/22418/20662/17126/14873/15461/13555/18710/66993/22419/16974/16653/29861/14860/17127/74769/20663/26396/18707/14362/212398/14371/18750/14784/11465/26413/12443",35
"mmu04540","Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction - Mus musculus (house mouse)","17/1397","80/7573",0.299158086677216,0.704946658778027,0.59276112697,"14816/11512/20662/15461/18590/14683/20779/16653/11513/20663/26396/14745/18750/19091/14784/26413/22142",17
"mmu04810","Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton - Mus musculus (house mouse)","45/1397","226/7573",0.307783427413756,0.704946658778027,0.59276112697,"14673/16421/21844/12540/216963/16398/18643/19878/382562/22330/13800/20662/13367/15461/16412/18590/14268/329165/227753/16420/16401/16410/20779/18710/16653/17907/74769/101314/20663/26396/14701/14164/226970/14745/18707/238564/12767/14062/19241/242894/11465/26413/329251/109828/68089",45
"mmu04622","Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","12/1397","55/7573",0.308481783622836,0.704946658778027,0.59276112697,"13205/26420/22031/66641/26409/14082/23988/67526/228607/11793/26414/26416",12
"mmu04978","Organismal Systems","Digestive system","mmu04978","Mineral absorption - Mus musculus (house mouse)","11/1397","50/7573",0.30986773178015,0.704946658778027,0.59276112697,"15369/27222/67972/52466/18174/171429/11931/73649/320707/11936/20529",11
"mmu00052","Metabolism","Carbohydrate metabolism","mmu00052","Galactose metabolism - Mus musculus (house mouse)","7/1397","30/7573",0.310641337356868,0.704946658778027,0.59276112697,"11677/72157/53418/18642/14430/67861/76051",7
"mmu04215","Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species - Mus musculus (house mouse)","7/1397","30/7573",0.310641337356868,0.704946658778027,0.59276112697,"26420/12369/14082/26414/12043/13063/64704",7
"mmu04930","Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus - Mus musculus (house mouse)","10/1397","45/7573",0.310941308040811,0.704946658778027,0.59276112697,"20528/26420/12291/18710/18746/74769/12286/18707/26414/26413",10
"mmu00514","Metabolism","Glycan biosynthesis and metabolism","mmu00514","Other types of O-glycan biosynthesis - Mus musculus (house mouse)","9/1397","40/7573",0.311575663889535,0.704946658778027,0.59276112697,"14423/80294/241391/20441/53418/232313/269132/231050/94192",9
"mmu04611","Organismal Systems","Immune system","mmu04611","Platelet activation - Mus musculus (house mouse)","25/1397","122/7573",0.312846150345278,0.704946658778027,0.59276112697,"12842/16398/19878/11512/16412/12825/14683/20779/18441/18710/12843/22323/20866/11513/74769/18707/238564/14062/109305/22320/19091/26416/11465/26413/109905",25
"mmu00910","Metabolism","Energy metabolism","mmu00910","Nitrogen metabolism - Mus musculus (house mouse)","4/1397","16/7573",0.339895279601628,0.759402453319842,0.638550801608089,"14661/12350/230099/12319",4
